groupId,artifactId,mcrTags
com.dracoon,dracoon-crypto-sdk,"cryptography,sdk"
io.github.lukehutch,fast-classpath-scanner,"github,scanning,classpath,io"
io.socket,socket.io-client,"io,socket,client"
ch.iterate.openstack,swift,openstack
net.serenity-bdd,serenity-junit,"junit,testing"
com.esotericsoftware.yamlbeans,yamlbeans,yaml
org.apache.cxf,cxf-rt-features-logging,"logging,apache"
io.springfox,springfox-swagger2,"io,swagger,api"
org.eclipse.jetty,jetty-util,"server,eclipse,webserver,jetty"
com.github.jai-imageio,jai-imageio-jpeg2000,github
org.objenesis,objenesis,reflection
org.jboss.interceptor,jboss-interceptor-spi,"interface,jboss"
org.noear,nami.channel.socketd.netty,"network,socket,netty"
org.tmatesoft.svnkit,svnkit,"scm,svn,subversion,version-control"
io.swagger,swagger-jaxrs,"rest,io,swagger,api,jaxrs"
org.jetbrains.kotlin,kotlin-test,"testing,kotlin"
org.eclipse.jetty,jetty-io,"server,eclipse,webserver,io,jetty"
org.noear,solon.boot.jetty.add.jsp,"server,webserver,jsp,jetty"
org.immutables,builder,builder
io.kareldb,kareldb-core,io
org.eclipse.paho,org.eclipse.paho.mqttv5.client,"plugin,eclipse,client"
io.norberg,auto-matter-jackson,io
org.deeplearning4j,deeplearning4j-nn,"deep-learning,machine-learning"
org.springframework.boot,spring-boot-autoconfigure,"spring,config"
io.opencensus,opencensus-exporter-stats-stackdriver,"stats,export,io"
com.vaadin,vaadin-compatibility-client,"gwt,web-framework,compatibility,client"
org.noear,mybatis-sqlhelper-solon-plugin,"plugin,persistence"
io.kcache,kcache,io
org.keycloak,keycloak-server-spi-private,"server,interface"
io.github.firemaples,microsoft-translator-java-api,"github,io,api"
io.jenkins.lib,support-log-formatter,"support,logging,library,jenkins,io"
org.springframework,spring-struts,"spring,web-framework"
org.apache.commons,commons-email,"apache,mail,commons"
com.aliyun.openservices,aliyun-log-producer,"logging,producer"
org.hibernate,hibernate-annotations,"hibernate,persistence,annotations,metadata"
org.apache.spark,spark-mllib_2.12,"spark,apache,ai,machine-learning"
org.antlr,antlr-runtime,"compiler,parser,runtime"
org.apache.spark,spark-mllib_2.10,"spark,apache,ai,machine-learning"
org.mongodb.morphia,morphia,"mongodb,database,mapping"
software.amazon.awssdk,cloudwatch,"aws,amazon,monitoring,metrics"
com.github.ben-manes.caffeine,guava,"github,cache"
com.amazonaws,aws-java-sdk-s3,"aws,s3,amazon,sdk"
commons-collections,commons-collections,"collections,structures"
org.apache.santuario,xmlsec,"security,apache"
org.apache.hive,hive-jdbc,"sql,jdbc,hadoop,apache"
commons-pool,commons-pool,pooling
com.github.haifengl,smile-nlp,"github,nlp"
io.swagger,swagger-core,"io,api,swagger"
org.orbisgis,h2gis-functions,geo
org.sonarsource.sonarqube,sonar-ws,sonar
com.google.gag,gag,google
com.digitalpebble.stormcrawler,storm-crawler-warc,crawler
joda-time,joda-time,"time,date"
org.jogamp.gluegen,gluegen-rt-main,native
com.github.stephenc.high-scale-lib,high-scale-lib,"github,structures,collections,library"
io.qameta.allure,allure-testng,"testng,testing,io"
de.odysseus.juel,juel-spi,interface
com.alibaba.nacos,nacos-client,client
org.scala-lang,scala-compiler,"compiler,scala"
org.eclipse.collections,eclipse-collections-api,"structures,eclipse,collections,api"
org.boofcv,boofcv-swing,"swing,ui"
org.bouncycastle,bcprov-jdk15on,encryption
org.noear,solon.socketd.client.websocket,"websocket,client"
com.cloudbees,syslog-java-client,"logging,syslog,client"
org.noear,guava-solon-plugin,plugin
com.baomidou,mybatis-plus-core,persistence
org.mockito,mockito-core,"mock,mocking,testing"
com.ibm.cloud,cloudant,"cloud,ibm"
com.sun.xml.stream,sjsxp,"streaming,xml"
org.apache.jmeter,ApacheJMeter_core,"load,testing,apache,metrics,performance"
com.esotericsoftware,kryo,serialization
criterium,criterium,clojure
com.caucho,burlap,webservice
com.github.pagehelper,pagehelper-spring-boot-starter,"github,spring,starter"
junit,junit-dep,"testing,junit"
info.picocli,picocli-shell-jline3,"shell,command-line"
javax.mail,javax.mail-api,"standard,javax,mail,api,specs"
org.apache.tez,tez-mapreduce,"mapreduce,apache,parallel"
io.springfox,springfox-swagger-ui,"ui,io,swagger,api"
javax.servlet,servlet-api,"standard,servlet,javax,api,specs"
org.hibernate,hibernate-entitymanager,"hibernate,persistence,jpa"
org.apache.commons,commons-lang3,"apache,commons"
org.codehaus.janino,janino,"codehaus,jvm,language"
org.jboss.interceptor,jboss-interceptor-core,jboss
com.google.cloud,google-cloud-pubsub,"messaging,google,cloud"
com.miglayout,miglayout-swing,"swing,ui,layout"
org.jenkins-ci.plugins.workflow,workflow-job,"plugin,workflow,jenkins"
com.itextpdf,forms,forms
org.wikidata.wdtk,wdtk-client,client
org.testcontainers,mariadb,"database,mysql"
nu.pattern,opencv,"pattern,computer-vision,ai"
org.jenkins-ci.plugins,docker-java-api,"plugin,docker,jenkins,api"
org.apache.directory.shared,shared-ldap-schema-manager,"schema,apache,manager,ldap,directory"
info.bliki.wiki,bliki-core,wiki
org.noear,solon.serialization,serialization
io.undertow,undertow-websockets-jsr,"websocket,io"
com.ibm.icu,icu4j,"ibm,i18n"
org.bonitasoft.engine,bonita-client,"client,engine"
net.sf.jung,jung-algorithms,graph
org.noear,solon.boot.undertow.add.jsp,jsp
net.java.dev.jets3t,jets3t,"aws,s3"
org.noear,nami.channel.socketd.websocket,websocket
com.github.tomakehurst,wiremock-jre8,github
org.springframework.integration,spring-integration-core,"integration,spring"
org.jenkins-ci.plugins,matrix-auth,"plugin,matrix,authentication,jenkins"
com.github.binarywang,weixin-java-cp,github
io.netty,netty-resolver-dns-native-macos,"dns,network,socket,native,netty,io"
org.jenkins-ci.plugins,git-client,"plugin,scm,git,client,jenkins"
org.apache.tomcat.embed,tomcat-embed-el,"embedded,server,webserver,apache,tomcat"
com.carrotsearch,junit-benchmarks,"junit,testing,performance,benchmark"
org.python,jython-standalone,"python,language,runtime"
org.codehaus.groovy.modules.http-builder,http-builder,"module,builder,client,groovy,codehaus,http"
org.jenkins-ci.plugins,jquery,"plugin,jquery,jenkins"
br.eti.arthurgregorio,shiro-ee,security
org.apache.logging.log4j,log4j-slf4j-impl,"logging,bridge,apache,slf4j"
com.baidu.aip,java-sdk,sdk
org.webjars,stomp-websocket,"assets,websocket,web"
javax.persistence,persistence-api,"persistence,standard,javax,api,specs"
com.fasterxml.jackson.core,jackson-annotations,"json,annotations,metadata"
com.google.auto.service,auto-service,"google,config,service"
javax.mail,mail,"mail,javax,specs,standard"
org.codehaus.groovy,groovy-jsr223,"groovy,codehaus"
com.joyent.manta,java-manta-client-unshaded,client
org.noear,weed3-solon-plugin,plugin
com.github.xiaoymin,knife4j-spring-boot-starter,"github,spring,starter"
net.sourceforge.htmlcleaner,htmlcleaner,"html,parser"
org.springframework.boot,spring-boot,spring
org.noear,mybatis-pagehelper-solon-plugin,"plugin,persistence"
net.kyori,adventure-platform-bukkit,platform
org.springframework,spring-webmvc,"spring,framework,web,mvc"
net.sourceforge.findbugs,annotations,"defect,annotations,analysis,metadata"
org.webjars.bower,js-beautify,"assets,web"
org.codehaus.groovy,groovy-nio,"groovy,io,codehaus"
org.springframework.batch,spring-batch-test,"spring,testing,batch"
org.springframework.restdocs,spring-restdocs-core,spring
com.google.testing.compile,compile-testing,"google,testing"
org.jenkins-ci.plugins,ssh-agent,"plugin,network,ssh,agent,jenkins"
com.google.code.maven-scm-provider-svnjava,maven-scm-provider-svnjava,"provider,scm,google,build,build-system,maven"
com.amazonaws,aws-java-sdk-sts,"aws,amazon,sdk"
org.jparsec,jparsec,"parser,generator"
jakarta.platform,jakarta.jakartaee-api,"api,platform"
org.apache.samza,samza-kv-rocksdb_2.11,"apache,rocksdb"
aopalliance,aopalliance,"aop,aspect"
org.apache.wicket,wicket-util,"apache,wicket"
com.aliyun,aliyun-java-sdk-sts,sdk
org.pegdown,pegdown,markdown
org.owasp,encoder,encoder
org.noear,kafka-solon-plugin,"plugin,streaming,kafka"
com.jcraft,jsch.agentproxy.usocket-jna,native
com.googlecode.java-diff-utils,diffutils,"diff,patch"
org.jmock,jmock-legacy,"mock,mocking,testing"
org.eclipse.jetty,apache-jstl,"server,eclipse,webserver,apache,jetty"
org.springframework.security,spring-security-core,"security,spring"
ring,ring-json,"json,clojure"
org.apache.logging.log4j,log4j-iostreams,"logging,apache"
org.jenkinsci.plugins,kubernetes-credentials,"plugin,kubernetes"
org.webjars,bootstrap,"web,bootstrap,assets"
org.iq80.snappy,snappy,compression
org.exbin.deltahex,deltahex-swing,"swing,ui"
org.codehaus.jackson,jackson-mapper-lgpl,"mapping,codehaus"
com.squareup.dagger,dagger-compiler,compiler
org.mvel,mvel2,"expression,language"
org.jenkins-ci.main,maven-plugin,"plugin,build,build-system,maven,jenkins"
io.usethesource,capsule,io
org.fenixedu,bennu-io,io
org.apache.shiro,shiro-spring-boot-web-starter,"security,spring,web,apache,starter"
org.testcontainers,junit-jupiter,"junit,testing"
com.jcraft,jsch,"ssh,network"
org.testfx,testfx-junit5,"junit,testing"
org.apache.mahout,mahout-core,"apache,ai,machine-learning"
io.dropwizard.metrics,metrics-jvm,"metrics,io"
net.javacrumbs.shedlock,shedlock-spring,spring
org.netbeans.api,org-netbeans-modules-editor-settings,"module,ide,editor,api,netbeans"
com.google.truth.extensions,truth-proto-extension,"google,protocol,extension"
org.apache.lucene,lucene-memory,"lucene,apache,index,memory"
org.htmlparser,htmlparser,"parser,html"
cn.hutool,hutool-http,http
net.snaq,dbpool,"jdbc,pool"
org.easytesting,fest-swing-junit-4.5,"junit,swing,testing,ui"
com.github.javafaker,javafaker,github
org.hamcrest,hamcrest-junit,"matching,testing,junit"
com.github.martinpaljak,capfile,github
org.hamcrest,hamcrest-all,"matching,testing"
org.ini4j,ini4j,config
com.github.insubstantial,substance,github
org.apache.maven,maven-artifact,"model,build,build-system,maven,apache"
net.kyori,adventure-text-serializer-gson-legacy-impl,"json,text,serialization"
net.spy,spymemcached,"cache,client"
org.springframework,spring-test,"spring,testing"
org.apache.hadoop,hadoop-auth,"authentication,hadoop,apache"
org.glassfish.grizzly,grizzly-http-server,"server,http"
org.apache.ws.security,wss4j,"security,apache"
com.atlassian.jira,jira-rest-java-client-api,"rest,client,api"
org.noear,solon-springboot-starter,starter
io.prometheus,simpleclient_dropwizard,"prometheus,io"
